ticket,symbol,direction,lot,entry_time,entry_price,exit_time,exit_price,pnl_idr,commission,swap,net_idr,r_multiple,duration_min,comment,magic,varian
2517490337,XAUUSDm,buy,0.02,2026-09-09T15:16:09,4404.285000000001,2026-09-09T15:16:11,4404.177,-3861.47,0.0,0.0,-3861.47,,0.0,test_exec,20260909,baseline
2517514924,XAUUSDm,buy,0.02,2026-09-09T15:22:10,4403.747,2026-09-09T15:22:13,4403.228,-18079.72,0.0,0.0,-18079.72,,0.1,demo_siklus,20260909,baseline
2519084720,XAUUSDm,buy,0.01,2026-09-09T20:15:01,4413.544,2026-09-09T20:21:30,4417.594,70579.08,0.0,0.0,70579.08,,6.5,momentum_fib_6,20260909,baseline
2539248538,XAUUSDm,sell,0.01,2026-09-14T05:30:03,4336.06,2026-09-14T06:00:27,4340.55,-79202.66,0.0,0.0,-79202.66,,30.4,momentum_fib_6_f97a,20260909,baseline
2539248759,XAUUSDm,sell,0.01,2026-09-14T05:30:09,4335.664,2026-09-14T06:00:27,4340.55,-86258.57,0.0,0.0,-86258.57,,30.3,momentum_fib_6_f97a,20260909,baseline
2540807442,XAUUSDm,sell,0.01,2026-09-14T11:05:05,4331.72,2026-09-14T12:33:04,4335.778,-71689.03,0.0,0.0,-71689.03,,88.0,momentum_fib_7_f97a,20260909,baseline
2540807887,XAUUSDm,sell,0.01,2026-09-14T11:05:10,4331.432,2026-09-14T12:33:04,4335.778,-76809.68,0.0,0.0,-76809.68,,87.9,momentum_fib_7_f97a,20260909,baseline
2541782729,XAUUSDm,sell,0.01,2026-09-14T14:00:02,4320.789,2026-09-14T14:56:00,4309.706,194918.84,0.0,0.0,194918.84,,56.0,momentum_fib_6_f97a,20260909,baseline
2541828879,XAUUSDm,sell,0.01,2026-09-14T14:05:09,4320.61,2026-09-14T14:57:58,4308.854,206871.51,0.0,0.0,206871.51,,52.8,momentum_fib_6_f97a,20260909,baseline
2542163807,XAUUSDm,sell,0.01,2026-09-14T15:00:00,4311.692,2026-09-14T15:04:24,4315.237,-62724.6,0.0,0.0,-62724.6,,4.4,momentum_fib_8_f97a,20260909,baseline
2542165354,XAUUSDm,sell,0.01,2026-09-14T15:00:07,4311.4490000000005,2026-09-14T15:04:24,4315.237,-66965.14,0.0,0.0,-66965.14,,4.3,momentum_fib_8_f97a,20260909,baseline
2542205062,XAUUSDm,sell,0.01,2026-09-14T15:05:03,4314.669,2026-09-14T16:17:03,4302.243,218658.11,0.0,0.0,218658.11,,72.0,momentum_fib_7_f97a,20260909,baseline
2542205763,XAUUSDm,sell,0.01,2026-09-14T15:05:07,4313.592,2026-09-14T16:17:03,4302.243,199659.66,0.0,0.0,199659.66,,71.9,momentum_fib_7_f97a,20260909,baseline
2542673070,XAUUSDm,sell,0.01,2026-09-14T16:20:00,4292.659,2026-09-14T16:39:18,4280.334,216860.92,0.0,0.0,216860.92,,19.3,momentum_fib_8_f97a,20260909,baseline
2542673728,XAUUSDm,sell,0.01,2026-09-14T16:20:04,4292.7080000000005,2026-09-14T16:39:18,4280.334,217740.32,0.0,0.0,217740.32,,19.2,momentum_fib_8_f97a,20260909,baseline
2542877484,XAUUSDm,sell,0.01,2026-09-14T16:40:07,4281.575,2026-09-14T16:40:18,4286.455,-86224.98,0.0,0.0,-86224.98,,0.2,momentum_fib_8_f97a,20260909,baseline
2542919063,XAUUSDm,sell,0.01,2026-09-14T16:45:03,4281.9220000000005,2026-09-14T16:54:14,4286.01,-72270.53,0.0,0.0,-72270.53,,9.2,momentum_fib_7_f97a,20260909,baseline
2542957558,XAUUSDm,sell,0.01,2026-09-14T16:50:09,4282.0470000000005,2026-09-14T16:54:29,4286.442,-77563.7,0.0,0.0,-77563.7,,4.3,momentum_fib_8_f97a,20260909,baseline
2526451692,XAUUSDm,buy,0.01,2026-09-10T19:27:59,4362.849,2026-09-10T19:28:01,4362.243,-10742.82,0.0,0.0,-10742.82,,0.0,smoke test,20260910,konfluensi
